 Run 357160	 Raw lumi 1.03856	Cor lumi 1.06548	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357162	 Raw lumi 0.207254	Cor lumi 0.212625	 QEDC-corr stat-err 1726.06	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357164	 Raw lumi 0.427542	Cor lumi 0.438621	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357212	 Raw lumi 0.367013	Cor lumi 0.376524	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357214	 Raw lumi 0.671097	Cor lumi 0.688488	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357235	 Raw lumi 0.219531	Cor lumi 0.22522	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357236	 Raw lumi 0.217765	Cor lumi 0.223408	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357237	 Raw lumi 0.21519	Cor lumi 0.220766	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357240	 Raw lumi 0.8058	Cor lumi 0.826681	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357242	 Raw lumi 0.593441	Cor lumi 0.608819	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357253	 Raw lumi 0.299045	Cor lumi 0.306794	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357254	 Raw lumi 0.252745	Cor lumi 0.259295	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357260	 Raw lumi 0.527775	Cor lumi 0.541452	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357262	 Raw lumi 2.03617	Cor lumi 2.08894	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357265	 Raw lumi 0.204494	Cor lumi 0.209793	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357267	 Raw lumi 0.21754	Cor lumi 0.223177	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357269	 Raw lumi 1.70949	Cor lumi 0.819379	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357272	 Raw lumi 0.268222	Cor lumi 0.275173	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357275	 Raw lumi 4.08246	Cor lumi 4.18825	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357276	 Raw lumi 9.41479	Cor lumi 9.65876	 QEDC-corr stat-err 2.14574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 357278	 Raw lumi 6.64059	Cor lumi 6.81267	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
