 Run 468532	 Raw lumi 0.357393	Cor lumi 0.348306	 QEDC-corr stat-err 0.707107	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468538	 Raw lumi 1.15719	Cor lumi 1.12777	 QEDC-corr stat-err 0.27735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468539	 Raw lumi 1.9661	Cor lumi 1.7703	 QEDC-corr stat-err 0.174078	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468542	 Raw lumi 2.46518	Cor lumi 2.4025	 QEDC-corr stat-err 0.166667	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468545	 Raw lumi 0.772704	Cor lumi 0.753056	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468548	 Raw lumi 1.34449	Cor lumi 0.949597	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468609	 Raw lumi 0.43888	Cor lumi 0.427736	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468611	 Raw lumi 0.503969	Cor lumi 0.491173	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468612	 Raw lumi 0.333273	Cor lumi 0.324811	 QEDC-corr stat-err 0.57735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468626	 Raw lumi 0.350983	Cor lumi 0.342071	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468631	 Raw lumi 0.664406	Cor lumi 0.647536	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468632	 Raw lumi 0.949695	Cor lumi 0.925581	 QEDC-corr stat-err 0.258199	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468634	 Raw lumi 1.7046	Cor lumi 1.25349	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468635	 Raw lumi 1.38348	Cor lumi 1.34836	 QEDC-corr stat-err 0.176777	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468731	 Raw lumi 0.271677	Cor lumi 0.261083	 QEDC-corr stat-err 1	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468732	 Raw lumi 0.311314	Cor lumi 0.299174	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468733	 Raw lumi 0.528781	Cor lumi 0.261335	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468734	 Raw lumi 1.65744	Cor lumi 1.44296	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468735	 Raw lumi 1.61858	Cor lumi 1.55546	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468738	 Raw lumi 0.682287	Cor lumi 0.65568	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468739	 Raw lumi 1.61905	Cor lumi 1.55591	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468740	 Raw lumi 0.420333	Cor lumi 0.403942	 QEDC-corr stat-err 0.447214	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468741	 Raw lumi 0.670195	Cor lumi 0.64406	 QEDC-corr stat-err 0.316228	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468742	 Raw lumi 2.90435	Cor lumi 2.79109	 QEDC-corr stat-err 0.152499	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468743	 Raw lumi 1.86259	Cor lumi 1.78995	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468744	 Raw lumi 2.39629	Cor lumi 2.30284	 QEDC-corr stat-err 0.160128	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468747	 Raw lumi 0.404997	Cor lumi 0.389204	 QEDC-corr stat-err 0.377964	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468782	 Raw lumi 1.89382	Cor lumi 1.52719	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468783	 Raw lumi 1.25743	Cor lumi 1.20727	 QEDC-corr stat-err 0.235702	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468803	 Raw lumi 0.317004	Cor lumi 0.312308	 QEDC-corr stat-err 0.301511	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468809	 Raw lumi 0.260722	Cor lumi 0.25686	 QEDC-corr stat-err 0.5	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468810	 Raw lumi 0.319782	Cor lumi 0.315045	 QEDC-corr stat-err 0.408248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468811	 Raw lumi 0.436094	Cor lumi 0.429634	 QEDC-corr stat-err 0.377964	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468812	 Raw lumi 0.613855	Cor lumi 0.604762	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468816	 Raw lumi 1.84446	Cor lumi 1.81714	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468817	 Raw lumi 2.944	Cor lumi 2.9004	 QEDC-corr stat-err 0.176777	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468818	 Raw lumi 0.321352	Cor lumi 0.316592	 QEDC-corr stat-err 0.408248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468821	 Raw lumi 3.91445	Cor lumi 3.85646	 QEDC-corr stat-err 7.13724	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 468822	 Raw lumi 7.50059	Cor lumi 7.18504	 QEDC-corr stat-err 1.92518	 Av pol 0	 Pol err 0	 Pol run fraction 0
