 Run 401729	 Raw lumi 14.659	Cor lumi 13.9152	 QEDC-corr stat-err 0.0652328	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401730	 Raw lumi 9.30173	Cor lumi 7.81465	 QEDC-corr stat-err 0.0957826	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401731	 Raw lumi 1.78759	Cor lumi 1.2612	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401763	 Raw lumi 2.2178	Cor lumi 2.08645	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401764	 Raw lumi 23.2339	Cor lumi 9.6364	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401767	 Raw lumi 20.559	Cor lumi 0.406021	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401768	 Raw lumi 40.4669	Cor lumi 0.930683	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401856	 Raw lumi 25.8231	Cor lumi 1.42734	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401857	 Raw lumi 47.8705	Cor lumi 43.0011	 QEDC-corr stat-err 0.0384331	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401859	 Raw lumi 42.1301	Cor lumi 12.6584	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401860	 Raw lumi 11.4902	Cor lumi 0.739171	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401861	 Raw lumi 33.2568	Cor lumi 16.0517	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401865	 Raw lumi 2.34178	Cor lumi 2.21156	 QEDC-corr stat-err 0.188982	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401866	 Raw lumi 6.47685	Cor lumi 6.06894	 QEDC-corr stat-err 0.0990148	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401899	 Raw lumi 49.5259	Cor lumi 1.33683	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401908	 Raw lumi 12.3327	Cor lumi 2.70559	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401910	 Raw lumi 50.4982	Cor lumi 2.88387	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 401911	 Raw lumi 46.8959	Cor lumi 5.48896	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402041	 Raw lumi 41.344	Cor lumi 33.457	 QEDC-corr stat-err 0.0442374	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402042	 Raw lumi 29.7988	Cor lumi 21.2725	 QEDC-corr stat-err 0.0590281	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402044	 Raw lumi 40.5698	Cor lumi 38.6079	 QEDC-corr stat-err 0.0410651	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402045	 Raw lumi 87.587	Cor lumi 34.4906	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402047	 Raw lumi 43.6394	Cor lumi 1.90561	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402048	 Raw lumi 83.6332	Cor lumi 13.6627	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402166	 Raw lumi 61.9691	Cor lumi 7.91251	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402167	 Raw lumi 77.029	Cor lumi 1.85797	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402205	 Raw lumi 29.8443	Cor lumi 0.268326	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402209	 Raw lumi 19.1894	Cor lumi 1.13551	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402211	 Raw lumi 6.63272	Cor lumi 0.292509	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402261	 Raw lumi 2.24682	Cor lumi 1.14622	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402262	 Raw lumi 10.377	Cor lumi 4.7608	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402263	 Raw lumi 13.4979	Cor lumi 12.9585	 QEDC-corr stat-err 0.0707107	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402264	 Raw lumi 22.0783	Cor lumi 6.82666	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402267	 Raw lumi 2.04407	Cor lumi 1.96239	 QEDC-corr stat-err 0.223607	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402269	 Raw lumi 53.6941	Cor lumi 29.9043	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402270	 Raw lumi 28.8495	Cor lumi 20.5441	 QEDC-corr stat-err 0.059976	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402272	 Raw lumi 29.0527	Cor lumi 24.975	 QEDC-corr stat-err 0.0539164	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402273	 Raw lumi 25.2538	Cor lumi 17.1782	 QEDC-corr stat-err 0.0683586	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402275	 Raw lumi 24.7498	Cor lumi 18.7791	 QEDC-corr stat-err 0.0610847	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402277	 Raw lumi 27.3562	Cor lumi 23.4566	 QEDC-corr stat-err 0.0543928	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402279	 Raw lumi 23.0332	Cor lumi 17.4187	 QEDC-corr stat-err 0.0644157	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402296	 Raw lumi 2.63399	Cor lumi 2.52874	 QEDC-corr stat-err 0.156174	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402297	 Raw lumi 0.553357	Cor lumi 0.531245	 QEDC-corr stat-err 0.408248	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402299	 Raw lumi 0.812237	Cor lumi 0.77978	 QEDC-corr stat-err 0.258199	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402300	 Raw lumi 11.8615	Cor lumi 11.3875	 QEDC-corr stat-err 0.0776151	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402301	 Raw lumi 11.3612	Cor lumi 9.77247	 QEDC-corr stat-err 0.0860663	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402304	 Raw lumi 10.098	Cor lumi 9.69448	 QEDC-corr stat-err 0.0805823	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402305	 Raw lumi 18.3647	Cor lumi 17.7413	 QEDC-corr stat-err 0.065372	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402307	 Raw lumi 1.32396	Cor lumi 1.27902	 QEDC-corr stat-err 0.229416	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402308	 Raw lumi 1.91165	Cor lumi 1.84676	 QEDC-corr stat-err 0.2	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402309	 Raw lumi 15.8825	Cor lumi 13.936	 QEDC-corr stat-err 0.0716115	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402310	 Raw lumi 14.0807	Cor lumi 11.5628	 QEDC-corr stat-err 0.0751646	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402311	 Raw lumi 12.2803	Cor lumi 10.4481	 QEDC-corr stat-err 0.0790569	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402314	 Raw lumi 0.647192	Cor lumi 0.625224	 QEDC-corr stat-err 0.301511	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402315	 Raw lumi 1.54698	Cor lumi 1.49447	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402317	 Raw lumi 14.0267	Cor lumi 12.701	 QEDC-corr stat-err 0.0771517	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402376	 Raw lumi 11.7276	Cor lumi 9.06849	 QEDC-corr stat-err 0.0819232	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402377	 Raw lumi 9.79167	Cor lumi 9.4593	 QEDC-corr stat-err 0.0808452	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402378	 Raw lumi 31.4134	Cor lumi 26.647	 QEDC-corr stat-err 0.0508987	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402379	 Raw lumi 2.19325	Cor lumi 2.07339	 QEDC-corr stat-err 0.166667	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402380	 Raw lumi 3.09676	Cor lumi 2.99164	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402381	 Raw lumi 9.1864	Cor lumi 8.70961	 QEDC-corr stat-err 0.0830455	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402384	 Raw lumi 2.4078	Cor lumi 2.28726	 QEDC-corr stat-err 0.185695	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402385	 Raw lumi 5.65261	Cor lumi 4.63266	 QEDC-corr stat-err 0.110432	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402386	 Raw lumi 14.6626	Cor lumi 11.5269	 QEDC-corr stat-err 0.0717958	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402495	 Raw lumi 64.9264	Cor lumi 3.72895	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402498	 Raw lumi 3.97419	Cor lumi 3.80853	 QEDC-corr stat-err 0.137361	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402499	 Raw lumi 1.83901	Cor lumi 1.76235	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402500	 Raw lumi 11.2963	Cor lumi 7.08246	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402501	 Raw lumi 69.1442	Cor lumi 54.3386	 QEDC-corr stat-err 0.0353996	 Av pol 0	 Pol err 0	 Pol run fraction 0
