 Run 444517	 Raw lumi 3.00032	Cor lumi 2.93086	 QEDC-corr stat-err 0.176777	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444526	 Raw lumi 1.48581	Cor lumi 1.45141	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444527	 Raw lumi 1.40308	Cor lumi 1.3706	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444530	 Raw lumi 3.05533	Cor lumi 2.98459	 QEDC-corr stat-err 0.19245	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444533	 Raw lumi 0.809808	Cor lumi 0.761889	 QEDC-corr stat-err 0.301511	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444571	 Raw lumi 6.95953	Cor lumi 0.202187	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444572	 Raw lumi 2.90646	Cor lumi 2.87098	 QEDC-corr stat-err 0.154303	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444574	 Raw lumi 0.410948	Cor lumi 0.405932	 QEDC-corr stat-err 0.707107	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444583	 Raw lumi 4.84543	Cor lumi 4.78629	 QEDC-corr stat-err 9.42217	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444584	 Raw lumi 0.51675	Cor lumi 0.510443	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444587	 Raw lumi 0.235506	Cor lumi 0.232632	 QEDC-corr stat-err 0.707107	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444589	 Raw lumi 0.310575	Cor lumi 0.306784	 QEDC-corr stat-err 0.377964	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444590	 Raw lumi 16.9855	Cor lumi 16.2275	 QEDC-corr stat-err 0.0614295	 Av pol 0	 Pol err 0	 Pol run fraction 0
